Domain ,Site Code,Site Type,upstreamWatershedAreaKM2,reachSlopeM,averageBankfullWidthM,d50ParticleSizeMM,siteDescription,precipType,precipSite,precipDist,precipNotes
D01,HOPB,stream,100,0.5,20,3.5,is a pretty cool site with stuff and things,primary,HARV,14.8,"has primary, secondary, tertiary"
D02,LEWI,stream,75,0.4,15,3,is not a cool site with not that much stuff and things,primary,BLAN,8.7,"has primary, secondary, tertiary"
D02,POSE,stream,50,0.3,10,2.5,is a pretty cool site with stuff and things,primary,SCBI,0.8,"has primary, secondary, tertiary"
D03,FLNT,river,25,0.3,5,2,is not a cool site with not that much stuff and things,primary,JERC,3.5,"has primary, secondary, tertiary"
D04,GUIL,stream,100,0.5,20,3.5,is a pretty cool site with stuff and things,secondary,GUIL,,
D04,CUPE,stream,75,0.4,15,3,is not a cool site with not that much stuff and things,secondary,CUPE,,
D06,KING,stream,50,0.3,10,2.5,is a pretty cool site with stuff and things,primary,KONA,1,"has primary, secondary, tertiary"
D06,MCDI,stream,25,0.3,5,2,is not a cool site with not that much stuff and things,secondary,MCDI,,
D07,LECO,stream,100,0.5,20,3.5,is a pretty cool site with stuff and things,primary,GRSM,0.4,"has primary, secondary, tertiary"
D07,WALK,stream,75,0.4,15,3,is not a cool site with not that much stuff and things,primary,ORNL,0.8,"has primary, secondary, tertiary"
D08,BLWA,river,50,0.3,10,2.5,is a pretty cool site with stuff and things,primary,DELA,0.6,"has primary, secondary, tertiary"
D08,TOMB,river,25,0.3,5,2,is not a cool site with not that much stuff and things,primary,LENO,0.4,"has primary, secondary, tertiary"
D08,MAYF,stream,100,0.5,20,3.5,is a pretty cool site with stuff and things,primary,TALL,1.9,"has primary, secondary, tertiary"
D10,ARIK,stream,75,0.4,15,3,is not a cool site with not that much stuff and things,primary,ARIK,,
D11,PRIN,stream,50,0.3,10,2.5,is a pretty cool site with stuff and things,primary,PRIN,,
D11,BLUE,stream,25,0.3,5,2,is not a cool site with not that much stuff and things,primary,BLUE,,
D12,BLDE,stream,100,0.5,20,3.5,is a pretty cool site with stuff and things,primary,YELL,4,"has primary, secondary, tertiary"
D13,COMO,stream,75,0.4,15,3,is not a cool site with not that much stuff and things,primary,NIWO,33.7,"has primary, secondary, tertiary"
D13,WLOU,stream,50,0.3,10,2.5,is a pretty cool site with stuff and things,secondary,WLOU,,
D14,SYCA,stream,25,0.3,5,2,is not a cool site with not that much stuff and things,secondary,SYCA,,
D15,REDB,stream,100,0.5,20,3.5,is a pretty cool site with stuff and things,primary,REDB,,
D16,MART,stream,75,0.4,15,3,is not a cool site with not that much stuff and things,primary,WREF,3.4,"has primary, secondary, tertiary"
D16,MCRA,stream,50,0.3,10,2.5,is a pretty cool site with stuff and things,primary,ABBY,167.5,"has primary, secondary, tertiary"
D17,TECR,stream,25,0.3,5,2,is not a cool site with not that much stuff and things,primary,TEAK,5.9,"has primary, secondary, tertiary"
D17,BIGC,stream,100,0.5,20,3.5,is a pretty cool site with stuff and things,secondary,BIGC,,
D18,TOOK_inlet,lake,75,0.4,15,3,is not a cool site with not that much stuff and things,secondary,TOOK,,
D18,TOOK_outlet,lake,50,0.3,10,2.5,is a pretty cool site with stuff and things,secondary,TOOK,,
D18,OKSR,stream,25,0.3,5,2,is not a cool site with not that much stuff and things,primary,TOOL,9.3,"has primary, secondary, tertiary"
D19,CARI,stream,100,0.5,20,3.5,is a pretty cool site with stuff and things,primary,BONA,0.1,"has primary, secondary, tertiary"
